L1	L21	dst	top 30 probe index
0.200000	0.200000	0.000000	1563	1498	1805	1034	1317	1582	992	2419	1535	1520	982	1287	737	2198	249	2047	1480	252	1315	2078	36	1647	2392	154	1078	955	764	915	1618	1431
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	51.646586
2	53.413655
3	52.771084
4	52.449799
5	53.333333
6	53.815261
7	54.779116
8	57.510040
9	57.028112
10	57.429719
11	57.991968
12	58.795181
13	60.642570
14	60.160643
15	61.606426
16	62.329317
17	63.855422
18	65.702811
19	68.674699
20	68.995984
21	68.674699
22	68.835341
23	69.317269
24	71.164659
25	72.128514
26	71.405622
27	71.164659
28	70.602410
29	71.405622
30	71.325301
25	72.128514	0.000000	max_train_acc
