L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	1532	154	164	2687	2686	19	24	20	2894	252	2175	2688	33	1093	22	1819	484	1259	1523	12	2486	2541	131	2531	1519	339	1818	74	878
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	53.460200	45.517241	0.621027	1.000000	0.465517	0.869863	0.482890	0.944444	0.055556	0.869863
2	52.422100	49.655172	0.665105	1.000000	0.506897	0.972603	0.505338	0.965278	0.034722	0.972603
3	54.238800	48.620690	0.623955	1.000000	0.534483	0.767123	0.525822	0.701389	0.298611	0.767123
4	53.719700	49.655172	0.624309	1.000000	0.531034	0.773973	0.523148	0.715278	0.284722	0.773973
5	58.131500	52.068966	0.652174	1.000000	0.558621	0.821918	0.540541	0.708333	0.291667	0.821918
6	60.726600	57.931034	0.670487	1.000000	0.603448	0.801370	0.576355	0.597222	0.402778	0.801370
7	62.975800	57.931034	0.674157	1.000000	0.600000	0.821918	0.571429	0.625000	0.375000	0.821918
8	63.062300	60.344828	0.690808	1.000000	0.617241	0.849315	0.582160	0.618056	0.381944	0.849315
9	62.024200	56.896552	0.688776	1.000000	0.579310	0.924658	0.548780	0.770833	0.229167	0.924658
10	62.110700	55.172414	0.681592	1.000000	0.558621	0.938356	0.535156	0.826389	0.173611	0.938356
11	64.359900	56.551724	0.699267	1.000000	0.575862	0.979452	0.543726	0.833333	0.166667	0.979452
12	67.214500	60.000000	0.672840	1.000000	0.634483	0.746575	0.612360	0.479167	0.520833	0.746575
13	65.570900	56.551724	0.654655	1.000000	0.603448	0.746575	0.582888	0.541667	0.458333	0.746575
14	65.657400	58.965517	0.676558	1.000000	0.624138	0.780822	0.596859	0.534722	0.465278	0.780822
15	67.128000	59.310345	0.674556	1.000000	0.620690	0.780822	0.593750	0.541667	0.458333	0.780822
16	67.993100	63.448276	0.712251	1.000000	0.651724	0.856164	0.609756	0.555556	0.444444	0.856164
17	68.339100	64.137931	0.713881	1.000000	0.651724	0.863014	0.608696	0.562500	0.437500	0.863014
18	71.885800	65.862069	0.738292	1.000000	0.672414	0.917808	0.617512	0.576389	0.423611	0.917808
19	72.231800	64.137931	0.722372	1.000000	0.644828	0.917808	0.595556	0.631944	0.368056	0.917808
20	72.664400	63.103448	0.718499	1.000000	0.637931	0.917808	0.590308	0.645833	0.354167	0.917808
21	72.318300	63.448276	0.723404	1.000000	0.641379	0.931507	0.591304	0.652778	0.347222	0.931507
22	72.404800	62.758621	0.717678	1.000000	0.631034	0.931507	0.583691	0.673611	0.326389	0.931507
23	72.231800	62.068966	0.715405	1.000000	0.624138	0.938356	0.578059	0.694444	0.305556	0.938356
24	71.366800	61.034483	0.711688	1.000000	0.617241	0.938356	0.573222	0.708333	0.291667	0.938356
25	70.934300	59.310345	0.702290	1.000000	0.596552	0.945205	0.558704	0.756944	0.243056	0.945205
26	70.761200	60.000000	0.707379	1.000000	0.603448	0.952055	0.562753	0.750000	0.250000	0.952055
27	70.415200	60.344828	0.710660	1.000000	0.606897	0.958904	0.564516	0.750000	0.250000	0.958904
28	70.761200	66.896552	0.706271	1.000000	0.693103	0.732877	0.681529	0.347222	0.652778	0.732877
29	71.107300	70.000000	0.736842	1.000000	0.724138	0.767123	0.708861	0.319444	0.680556	0.767123
30	72.664400	67.931034	0.712871	1.000000	0.700000	0.739726	0.687898	0.340278	0.659722	0.739726
20	72.664400	63.103448	max_train_acc
