L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2894	2299	2687	2686	164	1532	19	154	2531	20	2688	252	24	2532	1093	12	33	1389	1519	2541	1390	624	74	2175	1819	878	1259	40	131	1524
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	51.211100	51.724138	0.681818	0.000000	0.517241	1.000000	0.517241	1.000000	0.000000	1.000000
2	51.211100	51.724138	0.681818	0.000000	0.517241	1.000000	0.517241	1.000000	0.000000	1.000000
3	51.470600	52.068966	0.683371	1.000000	0.520690	1.000000	0.519031	0.992857	0.007143	1.000000
4	51.557100	52.068966	0.680556	1.000000	0.524138	0.980000	0.521277	0.964286	0.035714	0.980000
5	55.622800	49.655172	0.630435	1.000000	0.531034	0.773333	0.532110	0.728571	0.271429	0.773333
6	59.861600	57.586207	0.684492	1.000000	0.593103	0.853333	0.571429	0.685714	0.314286	0.853333
7	59.515600	60.689655	0.697548	1.000000	0.617241	0.853333	0.589862	0.635714	0.364286	0.853333
8	61.851200	60.344828	0.714653	1.000000	0.617241	0.926667	0.581590	0.714286	0.285714	0.926667
9	64.532900	59.310345	0.706767	1.000000	0.596552	0.940000	0.566265	0.771429	0.228571	0.940000
10	64.100300	58.965517	0.704715	1.000000	0.589655	0.946667	0.561265	0.792857	0.207143	0.946667
11	62.283700	57.241379	0.697561	1.000000	0.572414	0.953333	0.550000	0.835714	0.164286	0.953333
12	65.224900	64.482759	0.714286	1.000000	0.668966	0.800000	0.645161	0.471429	0.528571	0.800000
13	64.359900	62.758621	0.700906	1.000000	0.658621	0.773333	0.640884	0.464286	0.535714	0.773333
14	66.176500	65.862069	0.726225	1.000000	0.672414	0.840000	0.639594	0.507143	0.492857	0.840000
15	67.733600	67.931034	0.737463	1.000000	0.693103	0.833333	0.661376	0.457143	0.542857	0.833333
16	66.695500	68.965517	0.752187	1.000000	0.706897	0.860000	0.668394	0.457143	0.542857	0.860000
17	66.522500	68.965517	0.749280	1.000000	0.700000	0.866667	0.659898	0.478571	0.521429	0.866667
18	68.339100	67.586207	0.739496	1.000000	0.679310	0.880000	0.637681	0.535714	0.464286	0.880000
19	67.647100	67.931034	0.743017	1.000000	0.682759	0.886667	0.639423	0.535714	0.464286	0.886667
20	68.425600	67.931034	0.744444	1.000000	0.682759	0.893333	0.638095	0.542857	0.457143	0.893333
21	68.598600	66.896552	0.737705	1.000000	0.668966	0.900000	0.625000	0.578571	0.421429	0.900000
22	69.982700	67.241379	0.743169	1.000000	0.675862	0.906667	0.629630	0.571429	0.428571	0.906667
23	70.415200	68.275862	0.754717	1.000000	0.686207	0.933333	0.633484	0.578571	0.421429	0.933333
24	70.674700	66.551724	0.745407	1.000000	0.665517	0.946667	0.614719	0.635714	0.364286	0.946667
25	71.020800	61.724138	0.721805	1.000000	0.617241	0.960000	0.578313	0.750000	0.250000	0.960000
26	71.539800	60.344828	0.714640	1.000000	0.603448	0.960000	0.569170	0.778571	0.221429	0.960000
27	71.193800	58.965517	0.707617	1.000000	0.589655	0.960000	0.560311	0.807143	0.192857	0.960000
28	71.020800	58.965517	0.709046	1.000000	0.589655	0.966667	0.559846	0.814286	0.185714	0.966667
29	70.328700	72.758621	0.767372	1.000000	0.734483	0.846667	0.701657	0.385714	0.614286	0.846667
30	71.193800	72.413793	0.763636	1.000000	0.731034	0.840000	0.700000	0.385714	0.614286	0.840000
26	71.539800	60.344828	max_train_acc
