L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	2686	164	2687	19	20	2894	154	1093	1532	24	2532	2531	2541	1519	2688	22	2628	12	2262	2175	252	1259	2542	1390	1389	339	131	1286	33
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	52.162600	50.689655	0.665094	1.000000	0.510345	0.946309	0.512727	0.950355	0.049645	0.946309
2	52.854700	50.344828	0.655257	1.000000	0.513793	0.899329	0.515385	0.893617	0.106383	0.899329
3	54.238800	50.000000	0.633609	1.000000	0.541379	0.771812	0.537383	0.702128	0.297872	0.771812
4	53.633200	49.310345	0.631854	1.000000	0.513793	0.812081	0.517094	0.801418	0.198582	0.812081
5	55.190300	53.448276	0.648649	1.000000	0.596552	0.724832	0.586957	0.539007	0.460993	0.724832
6	55.363300	51.379310	0.653266	1.000000	0.524138	0.872483	0.522088	0.843972	0.156028	0.872483
7	56.314900	52.068966	0.646240	1.000000	0.562069	0.778523	0.552381	0.666667	0.333333	0.778523
8	59.602100	54.827586	0.666667	1.000000	0.572414	0.832215	0.556054	0.702128	0.297872	0.832215
9	62.802800	56.896552	0.690722	1.000000	0.586207	0.899329	0.560669	0.744681	0.255319	0.899329
10	64.619400	55.862069	0.688442	1.000000	0.572414	0.919463	0.550201	0.794326	0.205674	0.919463
11	65.657400	56.206897	0.696078	1.000000	0.572414	0.953020	0.548263	0.829787	0.170213	0.953020
12	65.138400	62.068966	0.685535	1.000000	0.655172	0.731544	0.644970	0.425532	0.574468	0.731544
13	68.339100	62.068966	0.679487	1.000000	0.655172	0.711409	0.650307	0.404255	0.595745	0.711409
14	69.031100	64.137931	0.707317	1.000000	0.668966	0.778523	0.648045	0.446809	0.553191	0.778523
15	69.636700	64.137931	0.700599	1.000000	0.655172	0.785235	0.632432	0.482270	0.517730	0.785235
16	69.463700	65.172414	0.720461	1.000000	0.665517	0.838926	0.631313	0.517730	0.482270	0.838926
17	69.896200	65.172414	0.720000	1.000000	0.662069	0.845638	0.626866	0.531915	0.468085	0.845638
18	69.982700	66.551724	0.732955	1.000000	0.675862	0.865772	0.635468	0.524823	0.475177	0.865772
19	70.069200	66.896552	0.738636	1.000000	0.682759	0.872483	0.640394	0.517730	0.482270	0.872483
20	70.155700	65.862069	0.735376	1.000000	0.672414	0.885906	0.628571	0.553191	0.446809	0.885906
21	71.539800	66.206897	0.740331	1.000000	0.675862	0.899329	0.629108	0.560284	0.439716	0.899329
22	71.799300	65.172414	0.735695	1.000000	0.665517	0.906040	0.619266	0.588652	0.411348	0.906040
23	71.885800	64.482759	0.732620	1.000000	0.655172	0.919463	0.608889	0.624113	0.375887	0.919463
24	71.107300	63.103448	0.726804	1.000000	0.634483	0.946309	0.589958	0.695035	0.304965	0.946309
25	71.107300	64.137931	0.730570	1.000000	0.641379	0.946309	0.594937	0.680851	0.319149	0.946309
26	70.934300	64.482759	0.735751	1.000000	0.648276	0.953020	0.599156	0.673759	0.326241	0.953020
27	71.280300	64.482759	0.737113	1.000000	0.648276	0.959732	0.598326	0.680851	0.319149	0.959732
28	70.674700	64.827586	0.739796	1.000000	0.648276	0.973154	0.596708	0.695035	0.304965	0.973154
29	71.020800	63.793103	0.734694	1.000000	0.641379	0.966443	0.592593	0.702128	0.297872	0.966443
30	70.847800	63.103448	0.732323	1.000000	0.634483	0.973154	0.587045	0.723404	0.276596	0.973154
23	71.885800	64.482759	max_train_acc
