L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	2894	2686	164	2687	1093	1532	19	2688	2531	20	2175	154	2532	2628	24	33	2541	1259	339	1184	1819	407	22	2486	484	252	12	2542	1389
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	50.605500	54.482759	0.705357	0.000000	0.544828	1.000000	0.544828	1.000000	0.000000	1.000000
2	50.692000	54.137931	0.688525	1.000000	0.541379	0.930380	0.546468	0.924242	0.075758	0.930380
3	50.605500	53.793103	0.686131	1.000000	0.555172	0.892405	0.557312	0.848485	0.151515	0.892405
4	55.622800	54.827586	0.668571	1.000000	0.600000	0.740506	0.609375	0.568182	0.431818	0.740506
5	54.584800	52.758621	0.671717	1.000000	0.551724	0.841772	0.558824	0.795455	0.204545	0.841772
6	55.968900	56.206897	0.674556	1.000000	0.620690	0.721519	0.633333	0.500000	0.500000	0.721519
7	61.678200	62.758621	0.720222	1.000000	0.651724	0.822785	0.640394	0.553030	0.446970	0.822785
8	60.553600	65.172414	0.747312	1.000000	0.675862	0.879747	0.649533	0.568182	0.431818	0.879747
9	61.591700	64.827586	0.749354	1.000000	0.665517	0.917722	0.633188	0.636364	0.363636	0.917722
10	61.678200	60.344828	0.728606	1.000000	0.617241	0.943038	0.593625	0.772727	0.227273	0.943038
11	60.034600	67.586207	0.767372	1.000000	0.734483	0.803797	0.734104	0.348485	0.651515	0.803797
12	61.591700	69.655172	0.775148	1.000000	0.737931	0.829114	0.727778	0.371212	0.628788	0.829114
13	64.359900	73.448276	0.804598	1.000000	0.765517	0.886076	0.736842	0.378788	0.621212	0.886076
14	64.792400	73.103448	0.793003	1.000000	0.755172	0.860759	0.735135	0.371212	0.628788	0.860759
15	67.214500	75.172414	0.808140	1.000000	0.772414	0.879747	0.747312	0.356061	0.643939	0.879747
16	66.609000	76.896552	0.818182	1.000000	0.779310	0.911392	0.742268	0.378788	0.621212	0.911392
17	66.263000	73.793103	0.809917	1.000000	0.762069	0.930380	0.717073	0.439394	0.560606	0.930380
18	67.906600	74.137931	0.803279	1.000000	0.751724	0.930380	0.706731	0.462121	0.537879	0.930380
19	68.339100	72.758621	0.794595	1.000000	0.737931	0.930380	0.693396	0.492424	0.507576	0.930380
20	68.425600	71.379310	0.791444	1.000000	0.731034	0.936709	0.685185	0.515152	0.484848	0.936709
21	68.858100	72.068966	0.791557	1.000000	0.727586	0.949367	0.678733	0.537879	0.462121	0.949367
22	69.636700	70.689655	0.783290	1.000000	0.713793	0.949367	0.666667	0.568182	0.431818	0.949367
23	69.463700	70.344828	0.778351	1.000000	0.703448	0.955696	0.656522	0.598485	0.401515	0.955696
24	69.896200	71.034483	0.782383	1.000000	0.710345	0.955696	0.662281	0.583333	0.416667	0.955696
25	69.290700	70.344828	0.779487	1.000000	0.703448	0.962025	0.655172	0.606061	0.393939	0.962025
26	69.636700	70.344828	0.779487	1.000000	0.703448	0.962025	0.655172	0.606061	0.393939	0.962025
27	69.896200	68.275862	0.767677	1.000000	0.682759	0.962025	0.638655	0.651515	0.348485	0.962025
28	69.550200	62.068966	0.740566	1.000000	0.620690	0.993671	0.590226	0.825758	0.174242	0.993671
29	68.598600	77.241379	0.813253	1.000000	0.786207	0.854430	0.775862	0.295455	0.704545	0.854430
30	69.550200	77.241379	0.817910	1.000000	0.789655	0.867089	0.774011	0.303030	0.696970	0.867089
24	69.896200	71.034483	max_train_acc
