L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	2686	154	2894	2687	1532	19	164	24	20	252	2688	33	2175	1093	1286	484	1259	2486	624	12	1819	2532	2541	2628	878	1390	1519	1077	1184
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	51.384100	51.034483	0.675799	0.000000	0.510345	1.000000	0.510345	1.000000	0.000000	1.000000
2	52.595200	50.344828	0.660241	1.000000	0.513793	0.925676	0.513109	0.915493	0.084507	0.925676
3	53.892700	51.724138	0.665012	1.000000	0.534483	0.905405	0.525490	0.852113	0.147887	0.905405
4	55.103800	51.034483	0.652520	1.000000	0.548276	0.831081	0.537118	0.746479	0.253521	0.831081
5	53.719700	51.724138	0.669834	1.000000	0.520690	0.952703	0.516484	0.929577	0.070423	0.952703
6	56.141900	51.724138	0.646900	1.000000	0.548276	0.810811	0.538117	0.725352	0.274648	0.810811
7	57.266400	55.862069	0.682927	1.000000	0.596552	0.851351	0.570136	0.669014	0.330986	0.851351
8	62.283700	62.413793	0.726776	1.000000	0.655172	0.898649	0.610092	0.598592	0.401408	0.898649
9	62.629800	59.310345	0.706806	1.000000	0.613793	0.912162	0.576923	0.697183	0.302817	0.912162
10	62.024200	56.896552	0.693671	1.000000	0.582759	0.925676	0.554656	0.774648	0.225352	0.925676
11	64.359900	56.206897	0.691176	1.000000	0.565517	0.952703	0.542308	0.838028	0.161972	0.952703
12	64.186900	63.448276	0.694534	1.000000	0.672414	0.729730	0.662577	0.387324	0.612676	0.729730
13	64.186900	62.413793	0.689655	1.000000	0.658621	0.743243	0.643275	0.429577	0.570423	0.743243
14	64.965400	67.241379	0.734940	1.000000	0.696552	0.824324	0.663043	0.436620	0.563380	0.824324
15	68.425600	69.655172	0.759036	1.000000	0.724138	0.851351	0.684783	0.408451	0.591549	0.851351
16	68.598600	69.310345	0.761364	1.000000	0.710345	0.905405	0.656863	0.492958	0.507042	0.905405
17	70.328700	69.655172	0.760563	1.000000	0.706897	0.912162	0.652174	0.507042	0.492958	0.912162
18	70.328700	69.655172	0.755682	1.000000	0.703448	0.898649	0.651961	0.500000	0.500000	0.898649
19	70.674700	70.000000	0.759777	1.000000	0.703448	0.918919	0.647619	0.521127	0.478873	0.918919
20	71.280300	69.655172	0.756303	1.000000	0.700000	0.912162	0.645933	0.521127	0.478873	0.912162
21	71.193800	60.344828	0.717445	1.000000	0.603448	0.986486	0.563707	0.795775	0.204225	0.986486
22	71.020800	57.586207	0.703614	1.000000	0.575862	0.986486	0.546816	0.852113	0.147887	0.986486
23	71.107300	57.241379	0.701923	1.000000	0.572414	0.986486	0.544776	0.859155	0.140845	0.986486
24	71.020800	56.206897	0.696897	1.000000	0.562069	0.986486	0.538745	0.880282	0.119718	0.986486
25	71.453300	56.896552	0.698795	1.000000	0.568966	0.979730	0.543071	0.859155	0.140845	0.979730
26	71.280300	55.172414	0.690476	1.000000	0.551724	0.979730	0.533088	0.894366	0.105634	0.979730
27	71.366800	54.827586	0.688836	1.000000	0.548276	0.979730	0.531136	0.901408	0.098592	0.979730
28	71.539800	53.793103	0.683962	1.000000	0.537931	0.979730	0.525362	0.922535	0.077465	0.979730
29	71.107300	53.103448	0.682243	1.000000	0.531034	0.986486	0.521429	0.943662	0.056338	0.986486
30	71.366800	75.172414	0.788644	1.000000	0.768966	0.844595	0.739645	0.309859	0.690141	0.844595
28	71.539800	53.793103	max_train_acc
