,1repeat_cv_acc,1repeat_Coordinate_36,1repeat_idx_start1,1repeat_test_acc,1repeat_test_precision,1repeat_test_f1,1repeat_test_auc,1repeat_test_recall
0,54.713114754098356,66892,1,51.91146881287726,0.0,0.0,0.4942528735632184,0.0
1,54.713114754098356,88446971,3186,51.91146881287726,0.0,0.0,0.4942528735632184,0.0
2,62.090163934426236,88409881,3185,47.48490945674044,0.23404255319148937,0.07773851590106008,0.4543395675043834,0.046610169491525424
3,61.885245901639344,88360018,3184,44.8692152917505,0.38953488372093026,0.32843137254901966,0.44079972725501654,0.2838983050847458
4,65.3688524590164,88344614,3183,59.758551307847085,0.5592105263157895,0.6296296296296297,0.6034645106825118,0.7203389830508474
5,64.95901639344262,88344454,3182,57.14285714285714,0.5427509293680297,0.5782178217821783,0.5736898499902592,0.6186440677966102
6,64.75409836065575,88328391,3181,57.3440643863179,0.5461538461538461,0.5725806451612901,0.5747938177803753,0.6016949152542372
7,64.34426229508196,88512755,3187,59.356136820925556,0.5674603174603174,0.5860655737704917,0.5941538411585168,0.6059322033898306
8,64.95901639344262,88295459,3180,60.36217303822937,0.5815899581589958,0.5852631578947368,0.6029206441976752,0.5889830508474576
9,65.77868852459017,88174249,3178,58.752515090543255,0.5603112840466926,0.5841784989858013,0.5886096499772713,0.6101694915254238
10,65.77868852459017,88126069,3177,58.55130784708249,0.5595238095238095,0.5778688524590164,0.5860851353984025,0.597457627118644
11,65.98360655737704,88120588,3176,59.154929577464785,0.5540983606557377,0.6247689463955638,0.5975144489901942,0.7161016949152542
12,65.98360655737704,88088407,3175,57.947686116700204,0.5564853556485355,0.56,0.5787145269173323,0.5635593220338984
13,65.57377049180327,88086615,3174,57.74647887323944,0.55,0.5766129032258064,0.5788281706604325,0.6059322033898306
14,65.3688524590164,88030594,3173,58.55130784708249,0.5675675675675675,0.5502183406113538,0.5830411065653613,0.5338983050847458
15,67.21311475409836,88218727,3179,56.53923541247485,0.5416666666666666,0.5462184873949579,0.5646957594649002,0.5508474576271186
16,65.1639344262295,88593304,3188,57.3440643863179,0.546875,0.5691056910569106,0.5743879472693032,0.5932203389830508
17,65.3688524590164,88627650,3189,57.3440643863179,0.5487804878048781,0.5601659751037344,0.5733732709916228,0.5720338983050848
18,65.77868852459017,88651049,3190,57.74647887323944,0.5464285714285714,0.5930232558139534,0.5808575232157932,0.6483050847457628
19,65.77868852459017,89365313,3205,58.752515090543255,0.5584905660377358,0.5908183632734532,0.5894213909994155,0.6271186440677966
20,65.57377049180327,89364656,3204,58.55130784708249,0.6415094339622641,0.39766081871345027,0.5712708617442691,0.288135593220339
21,66.59836065573771,89301921,3203,58.752515090543255,0.552901023890785,0.6124763705103969,0.5922624845769205,0.6864406779661016
22,66.18852459016394,89274479,3202,57.14285714285714,0.5473251028806584,0.5553235908141961,0.5710516916682902,0.5635593220338984
23,65.3688524590164,89274369,3201,57.947686116700204,0.5473684210526316,0.598848368522073,0.583382037794662,0.6610169491525424
24,64.75409836065575,89231437,3200,59.154929577464785,0.5690376569037657,0.5726315789473685,0.5908175855575037,0.576271186440678
25,67.00819672131148,89211759,3199,60.7645875251509,0.5773584905660377,0.6107784431137725,0.6095931553997013,0.6483050847457628
26,66.80327868852459,89065432,3198,60.160965794768615,0.5659722222222222,0.6221374045801527,0.6058753815182805,0.690677966101695
27,67.62295081967213,89061922,3197,60.96579476861167,0.5777777777777777,0.616600790513834,0.61211766997857,0.6610169491525424
28,67.00819672131148,88988667,3196,62.37424547283702,0.5853658536585366,0.6424474187380497,0.6279628547308266,0.711864406779661
29,67.82786885245902,88955359,3195,63.78269617706237,0.6111111111111112,0.6311475409836066,0.6385317228391454,0.652542372881356
