,1repeat_cv_acc,1repeat_Coordinate_36,1repeat_idx_start1,1repeat_test_acc,1repeat_test_precision,1repeat_test_f1,1repeat_test_auc,1repeat_test_recall
0,58.19672131147541,30018734,1215,51.91146881287726,0.4788732394366197,0.2214983713355049,0.5011526722514449,0.1440677966101695
1,59.01639344262295,141694727,4124,51.710261569416495,0.4714285714285714,0.21568627450980393,0.49903402818364834,0.13983050847457626
2,59.42622950819673,87437853,3156,51.710261569416495,0.4861111111111111,0.368421052631579,0.5065426326384831,0.2966101694915254
3,62.5,129387915,3925,52.31388329979879,0.4984025559105431,0.5683060109289617,0.529742191051367,0.6610169491525424
4,61.68032786885246,36397065,1552,52.31388329979879,0.49842271293375395,0.5714285714285715,0.5301480615624391,0.6694915254237288
5,63.114754098360656,1805819,173,50.10060362173038,0.48013245033112584,0.5390334572490706,0.5064371063056042,0.614406779661017
6,63.934426229508205,56179041,2338,55.53319919517102,0.5380710659898477,0.4896073903002309,0.5502467692707319,0.4491525423728814
7,66.18852459016394,67010072,2652,54.52716297786721,0.5471698113207547,0.3391812865497076,0.5309273329436976,0.2457627118644068
8,68.23770491803278,129074749,3919,55.93561368209256,0.6,0.31775700934579443,0.5429167478407689,0.21610169491525424
9,69.87704918032787,55058052,2277,54.72837022132797,0.5733333333333334,0.2765273311897106,0.5297990129229171,0.18220338983050846
10,70.28688524590164,144720821,4158,53.31991951710262,0.5208333333333334,0.30120481927710846,0.5178095980258458,0.211864406779661
11,68.85245901639344,74900038,2890,54.32595573440644,0.5436893203883495,0.3303834808259587,0.528605753620365,0.23728813559322035
12,71.51639344262296,64568351,2593,57.14285714285714,0.632183908045977,0.3405572755417956,0.5552227417364765,0.2330508474576271
13,71.92622950819673,30673725,1254,55.33199195171026,0.5833333333333334,0.30625,0.5367637508929151,0.2076271186440678
14,71.51639344262296,23027033,947,54.929577464788736,0.5833333333333334,0.2727272727272727,0.5315117864796416,0.17796610169491525
15,75.20491803278688,69173193,2690,57.14285714285714,0.7090909090909091,0.26804123711340205,0.5519757776478993,0.1652542372881356
16,75.81967213114754,40716642,1718,56.13682092555332,0.618421052631579,0.30128205128205127,0.544020715630885,0.19915254237288135
17,76.84426229508196,24000563,1004,58.14889336016097,0.71875,0.30666666666666664,0.5629748684979544,0.19491525423728814
18,76.84426229508196,131860025,3978,57.14285714285714,0.7017543859649122,0.273037542662116,0.5521787129034352,0.1694915254237288
19,81.9672131147541,205885516,4650,60.36217303822937,0.7052631578947368,0.40483383685800606,0.5883093057990778,0.2838983050847458
20,82.99180327868852,49401569,2079,59.95975855130785,0.6608695652173913,0.433048433048433,0.5863043054743814,0.3220338983050847
21,83.60655737704919,175980091,4487,59.154929577464785,0.6486486486486487,0.414985590778098,0.577829729203195,0.3050847457627119
22,83.19672131147541,2769563,253,58.752515090543255,0.6148148148148148,0.44743935309973043,0.5762305993895708,0.3516949152542373
23,82.37704918032787,8788859,529,60.56338028169014,0.717391304347826,0.4024390243902438,0.5900220793558023,0.2796610169491525
24,83.40163934426229,101621138,3437,59.758551307847085,0.6698113207547169,0.4152046783625731,0.5833739203844406,0.3008474576271186
25,82.78688524590164,71986889,2791,61.3682092555332,0.6896551724137931,0.45454545454545453,0.6005260081823495,0.3389830508474576
26,83.40163934426229,237988139,4744,60.160965794768615,0.6484375,0.4560439560439561,0.5896405610753944,0.3516949152542373
27,83.19672131147541,10798653,590,60.56338028169014,0.6666666666666666,0.44943820224719105,0.5928631729333074,0.3389830508474576
28,84.22131147540983,16790972,761,60.160965794768615,0.6266666666666667,0.48704663212435234,0.5918728488862913,0.3983050847457627
29,83.40163934426229,1364173,127,60.56338028169014,0.6298701298701299,0.4974358974358975,0.5963130722774206,0.4110169491525424
