,0,1,accuracy,macro avg,weighted avg,auc
precision,0.8064516129032258,0.8275862068965517,0.8166666666666667,0.8170189098998888,0.8170189098998887,0.8166666666666667
recall,0.8333333333333334,0.8,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667
f1-score,0.819672131147541,0.8135593220338982,0.8166666666666667,0.8166157265907197,0.8166157265907196,0.8166666666666667
support,30.0,30.0,0.8166666666666667,60.0,60.0,0.8166666666666667
