,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.921875,0.8108108108108109,0.9305555555555556,0.8857142857142857,0.8877471221221223,0.887747122122122,0.9142857142857143
recall,0.8428571428571429,0.8571428571428571,0.9571428571428572,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.9142857142857143
f1-score,0.880597014925373,0.8333333333333334,0.943661971830986,0.8857142857142857,0.8858641066965641,0.8858641066965642,0.9142857142857143
support,70.0,70.0,70.0,0.8857142857142857,210.0,210.0,0.9142857142857143
