,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.581081081081081,0.4444444444444444,0.890625,0.6285714285714286,0.6387168418418417,0.6387168418418417,0.7214285714285714
recall,0.6142857142857143,0.45714285714285713,0.8142857142857143,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.7214285714285714
f1-score,0.5972222222222221,0.4507042253521127,0.8507462686567163,0.6285714285714286,0.6328909054103504,0.6328909054103504,0.7214285714285714
support,70.0,70.0,70.0,0.6285714285714286,210.0,210.0,0.7214285714285714
