,0,1,accuracy,macro avg,weighted avg,auc
precision,0.8235294117647058,0.9230769230769231,0.8666666666666667,0.8733031674208145,0.8733031674208145,0.8666666666666667
recall,0.9333333333333333,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
f1-score,0.8749999999999999,0.8571428571428571,0.8666666666666667,0.8660714285714285,0.8660714285714285,0.8666666666666667
support,30.0,30.0,0.8666666666666667,60.0,60.0,0.8666666666666667
