,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.9264705882352942,0.8823529411764706,0.9324324324324325,0.9142857142857143,0.913751987281399,0.9137519872813991,0.9357142857142858
recall,0.9,0.8571428571428571,0.9857142857142858,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9357142857142858
f1-score,0.9130434782608695,0.8695652173913043,0.9583333333333333,0.9142857142857143,0.9136473429951689,0.913647342995169,0.9357142857142858
support,70.0,70.0,70.0,0.9142857142857143,210.0,210.0,0.9357142857142858
