,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.9230769230769231,0.821917808219178,0.9305555555555556,0.8904761904761904,0.8918500956172188,0.891850095617219,0.9178571428571428
recall,0.8571428571428571,0.8571428571428571,0.9571428571428572,0.8904761904761904,0.8904761904761904,0.8904761904761904,0.9178571428571428
f1-score,0.888888888888889,0.8391608391608392,0.943661971830986,0.8904761904761904,0.8905705666269047,0.8905705666269047,0.9178571428571428
support,70.0,70.0,70.0,0.8904761904761904,210.0,210.0,0.9178571428571428
