,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.9393939393939394,0.8591549295774648,0.9315068493150684,0.9095238095238095,0.9100185727621576,0.9100185727621576,0.9321428571428573
recall,0.8857142857142857,0.8714285714285714,0.9714285714285714,0.9095238095238095,0.9095238095238095,0.9095238095238095,0.9321428571428573
f1-score,0.9117647058823529,0.8652482269503546,0.9510489510489512,0.9095238095238095,0.9093539612938862,0.9093539612938863,0.9321428571428573
support,70.0,70.0,70.0,0.9095238095238095,210.0,210.0,0.9321428571428573
