,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.46357615894039733,0.19047619047619047,1.0,0.5333333333333333,0.5513507831388625,0.5513507831388625,0.6499999999999999
recall,1.0,0.05714285714285714,0.5428571428571428,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6499999999999999
f1-score,0.6334841628959276,0.08791208791208792,0.7037037037037037,0.5333333333333333,0.4750333181705731,0.47503331817057304,0.6499999999999999
support,70.0,70.0,70.0,0.5333333333333333,210.0,210.0,0.6499999999999999
