,0,1,accuracy,macro avg,weighted avg,auc
precision,0.8518518518518519,0.7878787878787878,0.8166666666666667,0.8198653198653199,0.81986531986532,0.8166666666666667
recall,0.7666666666666667,0.8666666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667
f1-score,0.8070175438596491,0.8253968253968254,0.8166666666666667,0.8162071846282373,0.8162071846282372,0.8166666666666667
support,30.0,30.0,0.8166666666666667,60.0,60.0,0.8166666666666667
