,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.9523809523809523,0.8133333333333334,0.9166666666666666,0.8904761904761904,0.894126984126984,0.8941269841269841,0.9178571428571428
recall,0.8571428571428571,0.8714285714285714,0.9428571428571428,0.8904761904761904,0.8904761904761905,0.8904761904761904,0.9178571428571428
f1-score,0.9022556390977443,0.8413793103448276,0.9295774647887323,0.8904761904761904,0.891070804743768,0.8910708047437681,0.9178571428571428
support,70.0,70.0,70.0,0.8904761904761904,210.0,210.0,0.9178571428571428
