,0,1,2,accuracy,macro avg,weighted avg,auc
precision,0.9104477611940298,0.8285714285714286,0.9178082191780822,0.8857142857142857,0.8856091363145135,0.8856091363145135,0.9142857142857143
recall,0.8714285714285714,0.8285714285714286,0.9571428571428572,0.8857142857142857,0.8857142857142858,0.8857142857142857,0.9142857142857143
f1-score,0.8905109489051095,0.8285714285714286,0.9370629370629371,0.8857142857142857,0.8853817715131584,0.8853817715131584,0.9142857142857143
support,70.0,70.0,70.0,0.8857142857142857,210.0,210.0,0.9142857142857143
